Account Code,Territory,Account Type,Key Account,Key Account Manager,Account Name,Account Manager
78973104,Gracklstugh,Private Buyer,Private Buyer,Magnus Mortensen,Abigaíl-Fuentes-Benítez Gracklstugh,Magnus Mortensen
68808447,Tyraturos,No Key Account,No Key Account,No Key Account Manager,Achille's Artifacts Tyraturos,Saban Henderson
97994203,Cedarspoke,No Key Account,No Key Account,No Key Account Manager,Achille's Discounts Cedarspoke,Lacey Bodin
78025705,Dashadjen,No Key Account,No Key Account,No Key Account Manager,Achille's Instruments Dashadjen,Mark Franceschi
67173182,Adama's Tooth,No Key Account,No Key Account,No Key Account Manager,Ada's Hammers & Anvils Adama's Tooth,Josh Blanc
43895769,Marsember,No Key Account,No Key Account,No Key Account Manager,Ada's Oils & Elixirs Marsember,Margaret Toscanini
79919946,Priapurl,No Key Account,No Key Account,No Key Account Manager,Adam's Boats & Floats Priapurl,Paweł Trobbiani
86540562,Azureleaf,No Key Account,No Key Account,No Key Account Manager,Adam's Crafts Azureleaf,Ralf-Dieter Materka
60980581,Sundabar,No Key Account,No Key Account,No Key Account Manager,Adam's Smokepowder Sundabar,Kryštof Šťastný
81897524,Adama's Tooth,No Key Account,No Key Account,No Key Account Manager,Adam's Treasures Adama's Tooth,Ariadna Lombard
63309072,Mereu,No Key Account,No Key Account,No Key Account Manager,Adam's Vaults Mereu,Lilly Álvaro
21149045,Arrabar,Private Buyer,Private Buyer,Magnus Mortensen,Adamo-Pennetta-Vidoni Arrabar,Magnus Mortensen
46251653,Vaelan,No Key Account,No Key Account,No Key Account Manager,Adon's Stables Vaelan,Margaret Toscanini
36775646,Athkatla,No Key Account,No Key Account,No Key Account Manager,Adriana's Portals Athkatla,Carolyn Scott
22808914,Mantol Dereith,No Key Account,No Key Account,No Key Account Manager,Adéla's Solutions Mantol Dereith,Connie Munoz
55855383,Theshburl,No Key Account,No Key Account,No Key Account Manager,Aeris's Blacksmithing Theshburl,Saban Henderson
43833583,Lundeth,No Key Account,No Key Account,No Key Account Manager,Aeris's Garages Lundeth,Carrie Adams
44804234,Tyraturos,No Key Account,No Key Account,No Key Account Manager,Aeris's Hammers Tyraturos,Veronica Humphrey
10838362,Alaghon,No Key Account,No Key Account,No Key Account Manager,Aeris's Studios Alaghon,William Coste
59061340,Telos City,No Key Account,No Key Account,No Key Account Manager,Affordable Equipment Telos City,Christina Hendrix
39109211,Caer Callidyrr,No Key Account,No Key Account,No Key Account Manager,Affordable Horses Caer Callidyrr,Deborah Novotná
71386563,Uluvin,No Key Account,No Key Account,No Key Account Manager,Afia's Emporia Uluvin,Marleen Roy
27684321,Mucklestones,No Key Account,No Key Account,No Key Account Manager,Agama's Prospecting Mucklestones,Isabelle Vávrová
57280620,Arrabar,No Key Account,No Key Account,No Key Account Manager,Agama's Workrooms Arrabar,Lilly Álvaro
77509122,Wyrmspine,No Key Account,No Key Account,No Key Account Manager,Agnolo's Armor & Weapons Wyrmspine,Paweł Trobbiani
72667515,Urmlaspyr,No Key Account,No Key Account,No Key Account Manager,Agostino's Potions & More Urmlaspyr,Carolyn Scott
60182076,Alaghon,Key Account,Bardic College Union,Hector Lightbringer,Alaghon Bardic College,None
96189292,Alaghon,Key Account,House of Wonders,Aewynn Aasimar,Alaghon House of Wonders,None
94035522,Alaghon,Key Account,Nobility,Eric the Cleric,Alaghon Nobility,None
83515451,Alaghon,Key Account,Sprite's & Spirits,Glandarok Lightheart,Alaghon Sprite's & Spirits,None
13044487,Alaghon,Key Account,Zhentarim,Josette Gonzalez,Alaghon Zhentarim,None
42388389,Kai Shan,No Key Account,No Key Account,No Key Account Manager,Alain's Clothing & Hides Kai Shan,Marleen Roy
78292360,Horsa,No Key Account,No Key Account,No Key Account Manager,Alain's Ioun Stones Horsa,Rachel Rychcik
14664262,Candlekeep,No Key Account,No Key Account,No Key Account Manager,Alan's Adventuring Candlekeep,Marleen Roy
