Territory,Nation,Region,Regional Manager,Area,Area Manager
Adama's Tooth,Durpar,Thayan Empire,Tymoteusz Barrera,East,Vito Smith
Aerilpar,Veldorn,Thayan Empire,Oskar Meyers,East,Vito Smith
Alaghon,Turmish,Amnian Empire,Rachael Lee,South,Cipriano Seidel
Amphail,Waterdeep,Waterdhavian Empire,Kevin Federico,North,Christine Moore
Amruthar,Thay,Thayan Empire,Ricardo Segarra,East,Vito Smith
Arabel,Cormyr,Purple Dragon Empire,None; to be selected,North,Christine Moore
Arkanax,Chessentea,Halruaan Empire,Rolando Marion,South,Cipriano Seidel
Arn Rock,Arn Rock,Calim Empire,Ileana Lopez,West,Pia Rivera
Arrabar,Chondath,Calim Empire,Mitchell Brown,South,Cipriano Seidel
Assur,Durpar,Thayan Empire,Tymoteusz Barrera,East,Vito Smith
Athkatla,Amn,Amnian Empire,Delia Davey,South,Cipriano Seidel
Auckney,Luskan,New Neverwinter Empire,Jennifer Freudenberger,North,Christine Moore
Azureleaf,Korinn Archipelego,United Moonshae Empire,Ricardo Segarra,West,Pia Rivera
Baldur's Gate,Baldur's Gate,Amnian Empire,Olaf Novák,North,Christine Moore
Beluir,Luiren,Halruaan Empire,Donato Wołk,South,Cipriano Seidel
Berdusk,Baldur's Gate,Amnian Empire,Olaf Novák,North,Christine Moore
Beregost,Baldur's Gate,Amnian Empire,Olaf Novák,North,Christine Moore
Berranzo,Gundarlund,United Moonshae Empire,Franck Thornton,West,Pia Rivera
Bezentil,Great Dale,Bloodlands Empire,Mitchell Brown,East,Vito Smith
Blackstone,Alaron,United Moonshae Empire,Rolando Marion,West,Pia Rivera
Blingdenstone,Blingdenstone,None Empire,Tiberius Baenre,Underdark,Tiberius Baenre
Bloodstone (Damara),Damara,Bloodlands Empire,Magdalena Fracci,North,Christine Moore
Bloodstone (Vaasa),Vaasa,Bloodlands Empire,Jennifer Freudenberger,North,Christine Moore
Bryn Shander,Icewind Dale,None Empire,Josephine Kuska,North,Christine Moore
Caer Callidyrr,Alaron,United Moonshae Empire,Rolando Marion,West,Pia Rivera
Caer Moray,Moray,United Moonshae Empire,Miloš Pires,North,Christine Moore
Caer Westphal,Snowdown,Amnian Empire,Reyes Roberts,West,Pia Rivera
Calimport,Calimshan,Calim Empire,Amber Horn,South,Cipriano Seidel
Candlekeep,Baldur's Gate,Amnian Empire,Olaf Novák,North,Christine Moore
Cathyr,Dambrath,Thayan Empire,Todd Pottier,South,Cipriano Seidel
Cedarspoke,Turmish,Amnian Empire,Rachael Lee,South,Cipriano Seidel
Cimbar,Chessentea,Halruaan Empire,Rolando Marion,South,Cipriano Seidel
Citadel Adbarr,Dwarfholds,Dwarven Empire,Jennifer Freudenberger,North,Christine Moore
Citadel Felbarr,Dwarfholds,Dwarven Empire,Jennifer Freudenberger,North,Christine Moore
Citadel of Conjurers,Impiltur,Bloodlands Empire,Todd Pottier,North,Christine Moore
Conyberry,Neverwinter,New Neverwinter Empire,Josef Collet,North,Christine Moore
Crimmor,Amn,Amnian Empire,Delia Davey,South,Cipriano Seidel
Daerlun,Sembia,Purple Dragon Empire,Crystal Jessel,North,Christine Moore
Daggerford,Waterdeep,Waterdhavian Empire,Kevin Federico,North,Christine Moore
Darmshall,Vaasa,Bloodlands Empire,Jennifer Freudenberger,North,Christine Moore
Darromar,Tethyr,Calim Empire,Ricardo Segarra,South,Cipriano Seidel
Dashadjen,Calimshan,Calim Empire,Amber Horn,South,Cipriano Seidel
Dilpur,Impiltur,Bloodlands Empire,Todd Pottier,North,Christine Moore
Dusk Hold,Shar,Halruaan Empire,Ashley Blümel,South,Cipriano Seidel
Duskan,Tethyr,Calim Empire,Ricardo Segarra,South,Cipriano Seidel
Dwarven Valley,Dwarfholds,Dwarven Empire,Jennifer Freudenberger,North,Christine Moore
Easting,Amn,Amnian Empire,Delia Davey,South,Cipriano Seidel
Eltabbar,Thay,Thayan Empire,Ricardo Segarra,East,Vito Smith
Elturel,Baldur's Gate,Amnian Empire,Olaf Novák,North,Christine Moore
Emelone,Tethyr,Calim Empire,Ricardo Segarra,South,Cipriano Seidel
Emmesh,Aglarond,Thayan Empire,Ashley Blümel,East,Vito Smith
Erebos,Chessentea,Halruaan Empire,Rolando Marion,South,Cipriano Seidel
Eshpurta,Amn,Amnian Empire,Delia Davey,South,Cipriano Seidel
Eveningstar,Cormyr,Purple Dragon Empire,None; to be selected,North,Christine Moore
Everlund,Silverymoon,Purple Dragon Empire,Caroline Villaverde,North,Christine Moore
Eversult,Amn,Amnian Empire,Delia Davey,South,Cipriano Seidel
Farview,Moray,United Moonshae Empire,Miloš Pires,North,Christine Moore
Fireshear,Luskan,New Neverwinter Empire,Jennifer Freudenberger,North,Christine Moore
Fort Belurian,Chult,Amnian Empire,James Cobb,West,Pia Rivera
Fort Calim,Calimshan,Calim Empire,Amber Horn,South,Cipriano Seidel
Fort Morninglord,Baldur's Gate,Amnian Empire,Olaf Novák,North,Christine Moore
Friendly Arm Inn,Baldur's Gate,Amnian Empire,Olaf Novák,North,Christine Moore
Furthinghome,Aglarond,Thayan Empire,Ashley Blümel,East,Vito Smith
Gauntlgrym,Dwarfholds,Dwarven Empire,Jennifer Freudenberger,North,Christine Moore
Gnarhelm,Alaron,United Moonshae Empire,Rolando Marion,West,Pia Rivera
Goldenfields,Waterdeep,Waterdhavian Empire,Kevin Federico,North,Christine Moore
Gracklstugh,Gracklstugh,None Empire,Tiberius Baenre,Underdark,Tiberius Baenre
Grondsgrunn,Norland,United Moonshae Empire,Federico Weinhage,West,Pia Rivera
Gundbarg,Gundarlund,United Moonshae Empire,Franck Thornton,West,Pia Rivera
Halagard,Halruaa,Halruaan Empire,Ileana Lopez,South,Cipriano Seidel
Hammerstaad,Norland,United Moonshae Empire,Federico Weinhage,West,Pia Rivera
Harrowdale,Cormanthar,Purple Dragon Empire,Jenny Thomas,North,Christine Moore
Heliogabalus,Damara,Bloodlands Empire,Magdalena Fracci,North,Christine Moore
Helm's Hold,Neverwinter,New Neverwinter Empire,Josef Collet,North,Christine Moore
Heptios,Chessentea,Halruaan Empire,Rolando Marion,South,Cipriano Seidel
High Hold,Silverymoon,Purple Dragon Empire,Caroline Villaverde,North,Christine Moore
Highrock,Alaron,United Moonshae Empire,Rolando Marion,West,Pia Rivera
Hilltop,Silverymoon,Purple Dragon Empire,Caroline Villaverde,North,Christine Moore
Hlath,Chondath,Calim Empire,Mitchell Brown,South,Cipriano Seidel
Holondeth,Turmish,Amnian Empire,Rachael Lee,South,Cipriano Seidel
Horsa,Alaron,United Moonshae Empire,Rolando Marion,West,Pia Rivera
Hundlestone,Luskan,New Neverwinter Empire,Jennifer Freudenberger,North,Christine Moore
Huzuz,Zakhara,Southern Empire,Caroline Villaverde,East,Vito Smith
Iljak,Chondath,Calim Empire,Mitchell Brown,South,Cipriano Seidel
Ilmwatch,Impiltur,Bloodlands Empire,Todd Pottier,North,Christine Moore
Iriaesbor,Amn,Amnian Empire,Delia Davey,South,Cipriano Seidel
Ironfang Keep,Turmish,Amnian Empire,Rachael Lee,South,Cipriano Seidel
Ironmaster,Luskan,New Neverwinter Empire,Jennifer Freudenberger,North,Christine Moore
Ironspur,Damara,Bloodlands Empire,Magdalena Fracci,North,Christine Moore
Jalanthar,Silverymoon,Purple Dragon Empire,Caroline Villaverde,North,Christine Moore
Kai Shan,Kara-Tur,Eastern Empire,Margherita Grifeo,East,Vito Smith
Keltar,Calimshan,Calim Empire,Amber Horn,South,Cipriano Seidel
Khaerbaal,Halruaa,Halruaan Empire,Ileana Lopez,South,Cipriano Seidel
Koko Nur,Kara-Tur,Eastern Empire,Margherita Grifeo,East,Vito Smith
Korinn,Korinn Archipelego,United Moonshae Empire,Ricardo Segarra,West,Pia Rivera
Kork,Moray,United Moonshae Empire,Miloš Pires,North,Christine Moore
Krenalir,Luiren,Halruaan Empire,Donato Wołk,South,Cipriano Seidel
Kuo Te' Lung,Kara-Tur,Eastern Empire,Margherita Grifeo,East,Vito Smith
Leilon,Neverwinter,New Neverwinter Empire,Josef Collet,North,Christine Moore
Lhuvenhead,Silverymoon,Purple Dragon Empire,Caroline Villaverde,North,Christine Moore
Lundeth,Lapaliiya & Thindol,Halruaan Empire,Emily Hendriks,South,Cipriano Seidel
Lushpool,Lapaliiya & Thindol,Halruaan Empire,Emily Hendriks,South,Cipriano Seidel
Luskan,Luskan,New Neverwinter Empire,Jennifer Freudenberger,North,Christine Moore
Lyrabar,Impiltur,Bloodlands Empire,Todd Pottier,North,Christine Moore
Malaxer,Lapaliiya & Thindol,Halruaan Empire,Emily Hendriks,South,Cipriano Seidel
Manshaka,Calimshan,Calim Empire,Amber Horn,South,Cipriano Seidel
Mantol Dereith,Mantol Dereith,None Empire,Tiberius Baenre,Underdark,Tiberius Baenre
Maralith,Dambrath,Thayan Empire,Todd Pottier,South,Cipriano Seidel
Marsember,Cormyr,Purple Dragon Empire,None; to be selected,North,Christine Moore
Maur-Eturo,Vaasa,Bloodlands Empire,Jennifer Freudenberger,North,Christine Moore
Memnon,Calimshan,Calim Empire,Amber Horn,South,Cipriano Seidel
Memnonnar,Calimshan,Calim Empire,Amber Horn,South,Cipriano Seidel
Menzoberranzan,Menzoberranzan,None Empire,Tiberius Baenre,Underdark,Tiberius Baenre
Mereu,Mereu,Purple Dragon Empire,Josef Collet,North,Christine Moore
Messemprar,Unther,Old Empire,Jenny Thomas,East,Vito Smith
Mintarn,Mintarn,United Moonshae Empire,Paula Hiller,West,Pia Rivera
Mirabar,Dwarfholds,Dwarven Empire,Jennifer Freudenberger,North,Christine Moore
Mithral Hall,Dwarfholds,Dwarven Empire,Jennifer Freudenberger,North,Christine Moore
Morningstar Hollows,Turmish,Amnian Empire,Rachael Lee,South,Cipriano Seidel
Mount Talath,Halruaa,Halruaan Empire,Ileana Lopez,South,Cipriano Seidel
Mucklestones,Great Dale,Bloodlands Empire,Mitchell Brown,East,Vito Smith
Mulsantir,Thay,Thayan Empire,Ricardo Segarra,East,Vito Smith
Murann,Amn,Amnian Empire,Delia Davey,South,Cipriano Seidel
Mussum,Chondath,Calim Empire,Mitchell Brown,South,Cipriano Seidel
Myratma,Calimshan,Calim Empire,Amber Horn,South,Cipriano Seidel
Myth Drannor,Cormanthar,Purple Dragon Empire,Jenny Thomas,North,Christine Moore
Nashkel,Baldur's Gate,Amnian Empire,Olaf Novák,North,Christine Moore
Nethyr,Aglarond,Thayan Empire,Ashley Blümel,East,Vito Smith
Neverwinter,Neverwinter,New Neverwinter Empire,Josef Collet,North,Christine Moore
New Alaron,Korinn Archipelego,United Moonshae Empire,Ricardo Segarra,West,Pia Rivera
New Sarshel,Impiltur,Bloodlands Empire,Todd Pottier,North,Christine Moore
Nexal,Maztica,Western Empire,Timoteo Mülichen,West,Pia Rivera
Norheim,Norland,United Moonshae Empire,Federico Weinhage,West,Pia Rivera
Nykkar,Calimshan,Calim Empire,Amber Horn,South,Cipriano Seidel
Nyth,Thesk,Thayan Empire,Sophia Kawala,East,Vito Smith
Ogden,Alaron,United Moonshae Empire,Rolando Marion,West,Pia Rivera
Olafstaad,Alaron,United Moonshae Empire,Rolando Marion,West,Pia Rivera
Old Vaelan,Durpar,Thayan Empire,Tymoteusz Barrera,East,Vito Smith
Oman,Norland,United Moonshae Empire,Federico Weinhage,West,Pia Rivera
Ordulin,Sembia,Purple Dragon Empire,Crystal Jessel,North,Christine Moore
Paletorch,Narfell,Bloodlands Empire,Magdalena Fracci,East,Vito Smith
Palischuk,Vaasa,Bloodlands Empire,Jennifer Freudenberger,North,Christine Moore
Palost Port,Korinn Archipelego,United Moonshae Empire,Ricardo Segarra,West,Pia Rivera
Pengram,Snowdown,Amnian Empire,Reyes Roberts,West,Pia Rivera
Phandalin,Neverwinter,New Neverwinter Empire,Josef Collet,North,Christine Moore
Phannaskul,Murghom,Old Empire,Timoteo Mülichen,East,Vito Smith
Phant,Thesk,Thayan Empire,Sophia Kawala,East,Vito Smith
Phent,Thesk,Thayan Empire,Sophia Kawala,East,Vito Smith
Port Castigliar,Chult,Amnian Empire,James Cobb,West,Pia Rivera
Port Kir,Tethyr,Calim Empire,Ricardo Segarra,South,Cipriano Seidel
Port Nowhere,Maztica,Western Empire,Timoteo Mülichen,West,Pia Rivera
Port Nyanzaru,Chult,Amnian Empire,James Cobb,West,Pia Rivera
Praka,Damara,Bloodlands Empire,Magdalena Fracci,North,Christine Moore
Priapurl,Amn,Amnian Empire,Delia Davey,South,Cipriano Seidel
Proskur,Amn,Amnian Empire,Delia Davey,South,Cipriano Seidel
Purple Rock Isles,Purple Rock Isles,United Moonshae Empire,Georgina Téllez,West,Pia Rivera
Rauvincross,Silverymoon,Purple Dragon Empire,Caroline Villaverde,North,Christine Moore
Ravenstone,Waterdeep,Waterdhavian Empire,Kevin Federico,North,Christine Moore
Red Larch,Waterdeep,Waterdhavian Empire,Kevin Federico,North,Christine Moore
Regent's Field,Alaron,United Moonshae Empire,Rolando Marion,West,Pia Rivera
Riatavin,Amn,Amnian Empire,Delia Davey,South,Cipriano Seidel
Rivermoot,Silverymoon,Purple Dragon Empire,Caroline Villaverde,North,Christine Moore
Rogarsheim,Norland,United Moonshae Empire,Federico Weinhage,West,Pia Rivera
Ruathym,Ruathym,United Moonshae Empire,Olaf Novák,West,Pia Rivera
Saerloon,Sembia,Purple Dragon Empire,Crystal Jessel,North,Christine Moore
Sambar,Lantan,Amnian Empire,James Cobb,West,Pia Rivera
Scornubel,Baldur's Gate,Amnian Empire,Olaf Novák,North,Christine Moore
Secomber,Waterdeep,Waterdhavian Empire,Kevin Federico,North,Christine Moore
Shamph,Chondath,Calim Empire,Mitchell Brown,South,Cipriano Seidel
Shimmerglade,Impiltur,Bloodlands Empire,Todd Pottier,North,Christine Moore
Shoun,Luiren,Halruaan Empire,Donato Wołk,South,Cipriano Seidel
Silverymoon,Silverymoon,Purple Dragon Empire,Caroline Villaverde,North,Christine Moore
Singing Sands,Aglarond,Thayan Empire,Ashley Blümel,East,Vito Smith
Skuld,Mulhorand,Old Empire,Delia Davey,East,Vito Smith
Starmantle,Turmish,Amnian Empire,Rachael Lee,South,Cipriano Seidel
Sundabar,Silverymoon,Purple Dragon Empire,Caroline Villaverde,North,Christine Moore
Sunderstaad,Alaron,United Moonshae Empire,Rolando Marion,West,Pia Rivera
Sundrah,Lantan,Amnian Empire,James Cobb,West,Pia Rivera
Surthay,Thay,Thayan Empire,Ricardo Segarra,East,Vito Smith
Suzail,Cormyr,Purple Dragon Empire,None; to be selected,North,Christine Moore
Targos,Icewind Dale,None Empire,Josephine Kuska,North,Christine Moore
Telflamm,Thesk,Thayan Empire,Sophia Kawala,East,Vito Smith
Telos City,Vaasa,Bloodlands Empire,Jennifer Freudenberger,North,Christine Moore
Tharsult,Tharsult,Calim Empire,Jenny Thomas,West,Pia Rivera
The Nath,Halruaa,Halruaan Empire,Ileana Lopez,South,Cipriano Seidel
The Smoking Keep,Thay,Thayan Empire,Ricardo Segarra,East,Vito Smith
Theshburl,Calimshan,Calim Empire,Amber Horn,South,Cipriano Seidel
Thindar,Lapaliiya & Thindol,Halruaan Empire,Emily Hendriks,South,Cipriano Seidel
Thornhold,Waterdeep,Waterdhavian Empire,Kevin Federico,North,Christine Moore
Thunderstone,Cormyr,Purple Dragon Empire,None; to be selected,North,Christine Moore
Tilbrand,Aglarond,Thayan Empire,Ashley Blümel,East,Vito Smith
Tilverton,Cormyr,Purple Dragon Empire,None; to be selected,North,Christine Moore
Toreus,Chessentea,Halruaan Empire,Rolando Marion,South,Cipriano Seidel
Trademeet,Tethyr,Calim Empire,Ricardo Segarra,South,Cipriano Seidel
Triel,Baldur's Gate,Amnian Empire,Olaf Novák,North,Christine Moore
Tyraturos,Thay,Thayan Empire,Ricardo Segarra,East,Vito Smith
Uluvin,Waterdeep,Waterdhavian Empire,Kevin Federico,North,Christine Moore
Urmlaspyr,Sembia,Purple Dragon Empire,Crystal Jessel,North,Christine Moore
Vaelan,Durpar,Thayan Empire,Tymoteusz Barrera,East,Vito Smith
Valls,Damara,Bloodlands Empire,Magdalena Fracci,North,Christine Moore
Velen,Tethyr,Calim Empire,Ricardo Segarra,South,Cipriano Seidel
Velprintalar,Aglarond,Thayan Empire,Ashley Blümel,East,Vito Smith
Wai,Kara-Tur,Eastern Empire,Margherita Grifeo,East,Vito Smith
Waterdeep,Waterdeep,Waterdhavian Empire,Kevin Federico,North,Christine Moore
Waymoot,Cormyr,Purple Dragon Empire,None; to be selected,North,Christine Moore
Whalebone Isles,Whalebone Isles,United Moonshae Empire,Olaf Novák,West,Pia Rivera
Wyrmspine,Korinn Archipelego,United Moonshae Empire,Ricardo Segarra,West,Pia Rivera
Yhaunn,Sembia,Purple Dragon Empire,Crystal Jessel,North,Christine Moore
Yuthgalaunt,Sembia,Purple Dragon Empire,Crystal Jessel,North,Christine Moore
Zabbasz,Estagund,Thayan Empire,Patricia Francois,East,Vito Smith
Zalazuu,Halruaa,Halruaan Empire,Ileana Lopez,South,Cipriano Seidel
Zazesspur,Tethyr,Calim Empire,Ricardo Segarra,South,Cipriano Seidel
